label,precision,recall,f1,tp,fp,fn,tn
Function,0.79,0.883,0.834,264,70,35,202
Behavior,0.744,0.962,0.839,329,113,13,116
Data,0.701,0.796,0.746,148,63,38,322
F,0.899,0.996,0.945,455,51,2,63
UserRelated,0.933,0.502,0.653,140,10,139,282
